# This file should contain all the redirects in the documentation
# in the format `<old_path>,<new_path>`

# whatsnew
whatsnew,whatsnew/index
generated/pandas.IntervalIndex.get_loc,../reference/api/pandas.IntervalIndex.get_loc
generated/pandas.IntervalIndex,../reference/api/pandas.IntervalIndex
generated/pandas.IntervalIndex.is_non_overlapping_monotonic,../reference/api/pandas.IntervalIndex.is_non_overlapping_monotonic
generated/pandas.IntervalIndex.is_overlapping,../reference/api/pandas.IntervalIndex.is_overlapping
generated/pandas.IntervalIndex.left,../reference/api/pandas.IntervalIndex.left
generated/pandas.IntervalIndex.length,../reference/api/pandas.IntervalIndex.length
generated/pandas.IntervalIndex.mid,../reference/api/pandas.IntervalIndex.mid
generated/pandas.IntervalIndex.overlaps,../reference/api/pandas.IntervalIndex.overlaps
generated/pandas.IntervalIndex.right,../reference/api/pandas.IntervalIndex.right
generated/pandas.IntervalIndex.set_closed,../reference/api/pandas.IntervalIndex.set_closed
generated/pandas.IntervalIndex.to_tuples,../reference/api/pandas.IntervalIndex.to_tuples
generated/pandas.IntervalIndex.values,../reference/api/pandas.IntervalIndex.values
generated/pandas.Interval.left,../reference/api/pandas.Interval.left
generated/pandas.Interval.length,../reference/api/pandas.Interval.length
generated/pandas.Interval.mid,../reference/api/pandas.Interval.mid
generated/pandas.Interval.open_left,../reference/api/pandas.Interval.open_left
generated/pandas.Interval.open_right,../reference/api/pandas.Interval.open_right
generated/pandas.Interval.overlaps,../reference/api/pandas.Interval.overlaps
generated/pandas.interval_range,../reference/api/pandas.interval_range
generated/pandas.Interval.right,../reference/api/pandas.Interval.right
generated/pandas.io.formats.style.Styler.apply,../reference/api/pandas.io.formats.style.Styler.apply
generated/pandas.io.formats.style.Styler.applymap,../reference/api/pandas.io.formats.style.Styler.applymap
generated/pandas.io.formats.style.Styler.background_gradient,../reference/api/pandas.io.formats.style.Styler.background_gradient
generated/pandas.io.formats.style.Styler.bar,../reference/api/pandas.io.formats.style.Styler.bar
generated/pandas.io.formats.style.Styler.clear,../reference/api/pandas.io.formats.style.Styler.clear
generated/pandas.io.formats.style.Styler.env,../reference/api/pandas.io.formats.style.Styler.env
generated/pandas.io.formats.style.Styler.export,../reference/api/pandas.io.formats.style.Styler.export
generated/pandas.io.formats.style.Styler.format,../reference/api/pandas.io.formats.style.Styler.format
generated/pandas.io.formats.style.Styler.from_custom_template,../reference/api/pandas.io.formats.style.Styler.from_custom_template
generated/pandas.io.formats.style.Styler.hide_columns,../reference/api/pandas.io.formats.style.Styler.hide_columns
generated/pandas.io.formats.style.Styler.hide_index,../reference/api/pandas.io.formats.style.Styler.hide_index
generated/pandas.io.formats.style.Styler.highlight_max,../reference/api/pandas.io.formats.style.Styler.highlight_max
generated/pandas.io.formats.style.Styler.highlight_min,../reference/api/pandas.io.formats.style.Styler.highlight_min
generated/pandas.io.formats.style.Styler.highlight_null,../reference/api/pandas.io.formats.style.Styler.highlight_null
generated/pandas.io.formats.style.Styler,../reference/api/pandas.io.formats.style.Styler
generated/pandas.io.formats.style.Styler.loader,../reference/api/pandas.io.formats.style.Styler.loader
generated/pandas.io.formats.style.Styler.pipe,../reference/api/pandas.io.formats.style.Styler.pipe
generated/pandas.io.formats.style.Styler.render,../reference/api/pandas.io.formats.style.Styler.render
generated/pandas.io.formats.style.Styler.set_caption,../reference/api/pandas.io.formats.style.Styler.set_caption
generated/pandas.io.formats.style.Styler.set_precision,../reference/api/pandas.io.formats.style.Styler.set_precision
generated/pandas.io.formats.style.Styler.set_properties,../reference/api/pandas.io.formats.style.Styler.set_properties
generated/pandas.io.formats.style.Styler.set_table_attributes,../reference/api/pandas.io.formats.style.Styler.set_table_attributes
generated/pandas.io.formats.style.Styler.set_table_styles,../reference/api/pandas.io.formats.style.Styler.set_table_styles
generated/pandas.io.formats.style.Styler.set_uuid,../reference/api/pandas.io.formats.style.Styler.set_uuid
generated/pandas.io.formats.style.Styler.template,../reference/api/pandas.io.formats.style.Styler.template
generated/pandas.io.formats.style.Styler.to_excel,../reference/api/pandas.io.formats.style.Styler.to_excel
generated/pandas.io.formats.style.Styler.use,../reference/api/pandas.io.formats.style.Styler.use
generated/pandas.io.formats.style.Styler.where,../reference/api/pandas.io.formats.style.Styler.where
generated/pandas.io.json.build_table_schema,../reference/api/pandas.io.json.build_table_schema
generated/pandas.io.json.json_normalize,../reference/api/pandas.json_normalize
generated/pandas.io.stata.StataReader.data_label,../reference/api/pandas.io.stata.StataReader.data_label
generated/pandas.io.stata.StataReader.value_labels,../reference/api/pandas.io.stata.StataReader.value_labels
generated/pandas.io.stata.StataReader.variable_labels,../reference/api/pandas.io.stata.StataReader.variable_labels
generated/pandas.io.stata.StataWriter.write_file,../reference/api/pandas.io.stata.StataWriter.write_file
generated/pandas.isna,../reference/api/pandas.isna
generated/pandas.isnull,../reference/api/pandas.isnull
generated/pandas.melt,../reference/api/pandas.melt
generated/pandas.merge_asof,../reference/api/pandas.merge_asof
generated/pandas.merge,../reference/api/pandas.merge
generated/pandas.merge_ordered,../reference/api/pandas.merge_ordered
generated/pandas.MultiIndex.codes,../reference/api/pandas.MultiIndex.codes
generated/pandas.MultiIndex.droplevel,../reference/api/pandas.MultiIndex.droplevel
generated/pandas.MultiIndex.from_arrays,../reference/api/pandas.MultiIndex.from_arrays
generated/pandas.MultiIndex.from_frame,../reference/api/pandas.MultiIndex.from_frame
generated/pandas.MultiIndex.from_product,../reference/api/pandas.MultiIndex.from_product
generated/pandas.MultiIndex.from_tuples,../reference/api/pandas.MultiIndex.from_tuples
generated/pandas.MultiIndex.get_indexer,../reference/api/pandas.MultiIndex.get_indexer
generated/pandas.MultiIndex.get_level_values,../reference/api/pandas.MultiIndex.get_level_values
generated/pandas.MultiIndex.get_loc,../reference/api/pandas.MultiIndex.get_loc
generated/pandas.MultiIndex.get_loc_level,../reference/api/pandas.MultiIndex.get_loc_level
generated/pandas.MultiIndex,../reference/api/pandas.MultiIndex
generated/pandas.MultiIndex.is_lexsorted,../reference/api/pandas.MultiIndex.is_lexsorted
generated/pandas.MultiIndex.levels,../reference/api/pandas.MultiIndex.levels
generated/pandas.MultiIndex.levshape,../reference/api/pandas.MultiIndex.levshape
generated/pandas.MultiIndex.names,../reference/api/pandas.MultiIndex.names
generated/pandas.MultiIndex.nlevels,../reference/api/pandas.MultiIndex.nlevels
generated/pandas.MultiIndex.remove_unused_levels,../reference/api/pandas.MultiIndex.remove_unused_levels
generated/pandas.MultiIndex.reorder_levels,../reference/api/pandas.MultiIndex.reorder_levels
generated/pandas.MultiIndex.set_codes,../reference/api/pandas.MultiIndex.set_codes
generated/pandas.MultiIndex.set_levels,../reference/api/pandas.MultiIndex.set_levels
generated/pandas.MultiIndex.sortlevel,../reference/api/pandas.MultiIndex.sortlevel
generated/pandas.MultiIndex.swaplevel,../reference/api/pandas.MultiIndex.swaplevel
generated/pandas.MultiIndex.to_flat_index,../reference/api/pandas.MultiIndex.to_flat_index
generated/pandas.MultiIndex.to_frame,../reference/api/pandas.MultiIndex.to_frame
generated/pandas.notna,../reference/api/pandas.notna
generated/pandas.notnull,../reference/api/pandas.notnull
generated/pandas.option_context,../reference/api/pandas.option_context
generated/pandas.Period.asfreq,../reference/api/pandas.Period.asfreq
generated/pandas.Period.day,../reference/api/pandas.Period.day
generated/pandas.Period.dayofweek,../reference/api/pandas.Period.dayofweek
generated/pandas.Period.dayofyear,../reference/api/pandas.Period.dayofyear
generated/pandas.Period.days_in_month,../reference/api/pandas.Period.days_in_month
generated/pandas.Period.daysinmonth,../reference/api/pandas.Period.daysinmonth
generated/pandas.Period.end_time,../reference/api/pandas.Period.end_time
generated/pandas.Period.freq,../reference/api/pandas.Period.freq
generated/pandas.Period.freqstr,../reference/api/pandas.Period.freqstr
generated/pandas.Period.hour,../reference/api/pandas.Period.hour
generated/pandas.Period,../reference/api/pandas.Period
generated/pandas.PeriodIndex.asfreq,../reference/api/pandas.PeriodIndex.asfreq
generated/pandas.PeriodIndex.day,../reference/api/pandas.PeriodIndex.day
generated/pandas.PeriodIndex.dayofweek,../reference/api/pandas.PeriodIndex.dayofweek
generated/pandas.PeriodIndex.dayofyear,../reference/api/pandas.PeriodIndex.dayofyear
generated/pandas.PeriodIndex.days_in_month,../reference/api/pandas.PeriodIndex.days_in_month
generated/pandas.PeriodIndex.daysinmonth,../reference/api/pandas.PeriodIndex.daysinmonth
generated/pandas.PeriodIndex.end_time,../reference/api/pandas.PeriodIndex.end_time
generated/pandas.PeriodIndex.freq,../reference/api/pandas.PeriodIndex.freq
generated/pandas.PeriodIndex.freqstr,../reference/api/pandas.PeriodIndex.freqstr
generated/pandas.PeriodIndex.hour,../reference/api/pandas.PeriodIndex.hour
generated/pandas.PeriodIndex,../reference/api/pandas.PeriodIndex
generated/pandas.PeriodIndex.is_leap_year,../reference/api/pandas.PeriodIndex.is_leap_year
generated/pandas.PeriodIndex.minute,../reference/api/pandas.PeriodIndex.minute
generated/pandas.PeriodIndex.month,../reference/api/pandas.PeriodIndex.month
generated/pandas.PeriodIndex.quarter,../reference/api/pandas.PeriodIndex.quarter
generated/pandas.PeriodIndex.qyear,../reference/api/pandas.PeriodIndex.qyear
generated/pandas.PeriodIndex.second,../reference/api/pandas.PeriodIndex.second
generated/pandas.PeriodIndex.start_time,../reference/api/pandas.PeriodIndex.start_time
generated/pandas.PeriodIndex.strftime,../reference/api/pandas.PeriodIndex.strftime
generated/pandas.PeriodIndex.to_timestamp,../reference/api/pandas.PeriodIndex.to_timestamp
generated/pandas.PeriodIndex.weekday,../reference/api/pandas.PeriodIndex.weekday
generated/pandas.PeriodIndex.week,../reference/api/pandas.PeriodIndex.week
generated/pandas.PeriodIndex.weekofyear,../reference/api/pandas.PeriodIndex.weekofyear
generated/pandas.PeriodIndex.year,../reference/api/pandas.PeriodIndex.year
generated/pandas.Period.is_leap_year,../reference/api/pandas.Period.is_leap_year
generated/pandas.Period.minute,../reference/api/pandas.Period.minute
generated/pandas.Period.month,../reference/api/pandas.Period.month
generated/pandas.Period.now,../reference/api/pandas.Period.now
generated/pandas.Period.ordinal,../reference/api/pandas.Period.ordinal
generated/pandas.Period.quarter,../reference/api/pandas.Period.quarter
generated/pandas.Period.qyear,../reference/api/pandas.Period.qyear
generated/pandas.period_range,../reference/api/pandas.period_range
generated/pandas.Period.second,../reference/api/pandas.Period.second
generated/pandas.Period.start_time,../reference/api/pandas.Period.start_time
generated/pandas.Period.strftime,../reference/api/pandas.Period.strftime
generated/pandas.Period.to_timestamp,../reference/api/pandas.Period.to_timestamp
generated/pandas.Period.weekday,../reference/api/pandas.Period.weekday
generated/pandas.Period.week,../reference/api/pandas.Period.week
generated/pandas.Period.weekofyear,../reference/api/pandas.Period.weekofyear
generated/pandas.Period.year,../reference/api/pandas.Period.year
generated/pandas.pivot,../reference/api/pandas.pivot
generated/pandas.pivot_table,../reference/api/pandas.pivot_table
generated/pandas.plotting.andrews_curves,../reference/api/pandas.plotting.andrews_curves
generated/pandas.plotting.bootstrap_plot,../reference/api/pandas.plotting.bootstrap_plot
generated/pandas.plotting.deregister_matplotlib_converters,../reference/api/pandas.plotting.deregister_matplotlib_converters
generated/pandas.plotting.lag_plot,../reference/api/pandas.plotting.lag_plot
generated/pandas.plotting.parallel_coordinates,../reference/api/pandas.plotting.parallel_coordinates
generated/pandas.plotting.radviz,../reference/api/pandas.plotting.radviz
generated/pandas.plotting.register_matplotlib_converters,../reference/api/pandas.plotting.register_matplotlib_converters
generated/pandas.plotting.scatter_matrix,../reference/api/pandas.plotting.scatter_matrix
generated/pandas.qcut,../reference/api/pandas.qcut
generated/pandas.RangeIndex.from_range,../reference/api/pandas.RangeIndex.from_range
generated/pandas.RangeIndex,../reference/api/pandas.RangeIndex
generated/pandas.read_clipboard,../reference/api/pandas.read_clipboard
generated/pandas.read_csv,../reference/api/pandas.read_csv
generated/pandas.read_excel,../reference/api/pandas.read_excel
generated/pandas.read_feather,../reference/api/pandas.read_feather
generated/pandas.read_fwf,../reference/api/pandas.read_fwf
generated/pandas.read_gbq,../reference/api/pandas.read_gbq
generated/pandas.read_hdf,../reference/api/pandas.read_hdf
generated/pandas.read,../reference/api/pandas.read
generated/pandas.read_json,../reference/api/pandas.read_json
generated/pandas.read_parquet,../reference/api/pandas.read_parquet
generated/pandas.read_pickle,../reference/api/pandas.read_pickle
generated/pandas.read_sas,../reference/api/pandas.read_sas
generated/pandas.read_sql,../reference/api/pandas.read_sql
generated/pandas.read_sql_query,../reference/api/pandas.read_sql_query
generated/pandas.read_sql_table,../reference/api/pandas.read_sql_table
generated/pandas.read_stata,../reference/api/pandas.read_stata
generated/pandas.read_table,../reference/api/pandas.read_table
generated/pandas.reset_option,../reference/api/pandas.reset_option
generated/pandas.Series.abs,../reference/api/pandas.Series.abs
generated/pandas.Series.add,../reference/api/pandas.Series.add
generated/pandas.Series.add_prefix,../reference/api/pandas.Series.add_prefix
generated/pandas.Series.add_suffix,../reference/api/pandas.Series.add_suffix
generated/pandas.Series.agg,../reference/api/pandas.Series.agg
generated/pandas.Series.aggregate,../reference/api/pandas.Series.aggregate
generated/pandas.Series.align,../reference/api/pandas.Series.align
generated/pandas.Series.all,../reference/api/pandas.Series.all
generated/pandas.Series.any,../reference/api/pandas.Series.any
generated/pandas.Series.append,../reference/api/pandas.Series.append
generated/pandas.Series.apply,../reference/api/pandas.Series.apply
generated/pandas.Series.argmax,../reference/api/pandas.Series.argmax
generated/pandas.Series.argmin,../reference/api/pandas.Series.argmin
generated/pandas.Series.argsort,../reference/api/pandas.Series.argsort
generated/pandas.Series.__array__,../reference/api/pandas.Series.__array__
generated/pandas.Series.array,../reference/api/pandas.Series.array
generated/pandas.Series.as_blocks,../reference/api/pandas.Series.as_blocks
generated/pandas.Series.asfreq,../reference/api/pandas.Series.asfreq
generated/pandas.Series.as_matrix,../reference/api/pandas.Series.as_matrix
generated/pandas.Series.asobject,../reference/api/pandas.Series.asobject
generated/pandas.Series.asof,../reference/api/pandas.Series.asof
generated/pandas.Series.astype,../reference/api/pandas.Series.astype
generated/pandas.Series.at,../reference/api/pandas.Series.at
generated/pandas.Series.at_time,../reference/api/pandas.Series.at_time
generated/pandas.Series.autocorr,../reference/api/pandas.Series.autocorr
generated/pandas.Series.axes,../reference/api/pandas.Series.axes
generated/pandas.Series.between,../reference/api/pandas.Series.between
generated/pandas.Series.between_time,../reference/api/pandas.Series.between_time
generated/pandas.Series.bfill,../reference/api/pandas.Series.bfill
generated/pandas.Series.blocks,../reference/api/pandas.Series.blocks
generated/pandas.Series.bool,../reference/api/pandas.Series.bool
generated/pandas.Series.cat.add_categories,../reference/api/pandas.Series.cat.add_categories
generated/pandas.Series.cat.as_ordered,../reference/api/pandas.Series.cat.as_ordered
generated/pandas.Series.cat.as_unordered,../reference/api/pandas.Series.cat.as_unordered
generated/pandas.Series.cat.categories,../reference/api/pandas.Series.cat.categories
generated/pandas.Series.cat.codes,../reference/api/pandas.Series.cat.codes
generated/pandas.Series.cat,../reference/api/pandas.Series.cat
generated/pandas.Series.cat.ordered,../reference/api/pandas.Series.cat.ordered
generated/pandas.Series.cat.remove_categories,../reference/api/pandas.Series.cat.remove_categories
generated/pandas.Series.cat.remove_unused_categories,../reference/api/pandas.Series.cat.remove_unused_categories
generated/pandas.Series.cat.rename_categories,../reference/api/pandas.Series.cat.rename_categories
generated/pandas.Series.cat.reorder_categories,../reference/api/pandas.Series.cat.reorder_categories
generated/pandas.Series.cat.set_categories,../reference/api/pandas.Series.cat.set_categories
generated/pandas.Series.clip,../reference/api/pandas.Series.clip
generated/pandas.Series.clip_lower,../reference/api/pandas.Series.clip_lower
generated/pandas.Series.clip_upper,../reference/api/pandas.Series.clip_upper
generated/pandas.Series.combine_first,../reference/api/pandas.Series.combine_first
generated/pandas.Series.combine,../reference/api/pandas.Series.combine
generated/pandas.Series.compress,../reference/api/pandas.Series.compress
generated/pandas.Series.convert_objects,../reference/api/pandas.Series.convert_objects
generated/pandas.Series.copy,../reference/api/pandas.Series.copy
generated/pandas.Series.corr,../reference/api/pandas.Series.corr
generated/pandas.Series.count,../reference/api/pandas.Series.count
generated/pandas.Series.cov,../reference/api/pandas.Series.cov
generated/pandas.Series.cummax,../reference/api/pandas.Series.cummax
generated/pandas.Series.cummin,../reference/api/pandas.Series.cummin
generated/pandas.Series.cumprod,../reference/api/pandas.Series.cumprod
generated/pandas.Series.cumsum,../reference/api/pandas.Series.cumsum
generated/pandas.Series.data,../reference/api/pandas.Series.data
generated/pandas.Series.describe,../reference/api/pandas.Series.describe
generated/pandas.Series.diff,../reference/api/pandas.Series.diff
generated/pandas.Series.div,../reference/api/pandas.Series.div
generated/pandas.Series.divide,../reference/api/pandas.Series.divide
generated/pandas.Series.divmod,../reference/api/pandas.Series.divmod
generated/pandas.Series.dot,../reference/api/pandas.Series.dot
generated/pandas.Series.drop_duplicates,../reference/api/pandas.Series.drop_duplicates
generated/pandas.Series.drop,../reference/api/pandas.Series.drop
generated/pandas.Series.droplevel,../reference/api/pandas.Series.droplevel
generated/pandas.Series.dropna,../reference/api/pandas.Series.dropna
generated/pandas.Series.dt.ceil,../reference/api/pandas.Series.dt.ceil
generated/pandas.Series.dt.components,../reference/api/pandas.Series.dt.components
generated/pandas.Series.dt.date,../reference/api/pandas.Series.dt.date
generated/pandas.Series.dt.day,../reference/api/pandas.Series.dt.day
generated/pandas.Series.dt.day_name,../reference/api/pandas.Series.dt.day_name
generated/pandas.Series.dt.dayofweek,../reference/api/pandas.Series.dt.dayofweek
generated/pandas.Series.dt.dayofyear,../reference/api/pandas.Series.dt.dayofyear
generated/pandas.Series.dt.days,../reference/api/pandas.Series.dt.days
generated/pandas.Series.dt.days_in_month,../reference/api/pandas.Series.dt.days_in_month
generated/pandas.Series.dt.daysinmonth,../reference/api/pandas.Series.dt.daysinmonth
generated/pandas.Series.dt.end_time,../reference/api/pandas.Series.dt.end_time
generated/pandas.Series.dt.floor,../reference/api/pandas.Series.dt.floor
generated/pandas.Series.dt.freq,../reference/api/pandas.Series.dt.freq
generated/pandas.Series.dt.hour,../reference/api/pandas.Series.dt.hour
generated/pandas.Series.dt,../reference/api/pandas.Series.dt
generated/pandas.Series.dt.is_leap_year,../reference/api/pandas.Series.dt.is_leap_year
generated/pandas.Series.dt.is_month_end,../reference/api/pandas.Series.dt.is_month_end
generated/pandas.Series.dt.is_month_start,../reference/api/pandas.Series.dt.is_month_start
generated/pandas.Series.dt.is_quarter_end,../reference/api/pandas.Series.dt.is_quarter_end
generated/pandas.Series.dt.is_quarter_start,../reference/api/pandas.Series.dt.is_quarter_start
generated/pandas.Series.dt.is_year_end,../reference/api/pandas.Series.dt.is_year_end
generated/pandas.Series.dt.is_year_start,../reference/api/pandas.Series.dt.is_year_start
generated/pandas.Series.dt.microsecond,../reference/api/pandas.Series.dt.microsecond
generated/pandas.Series.dt.microseconds,../reference/api/pandas.Series.dt.microseconds
generated/pandas.Series.dt.minute,../reference/api/pandas.Series.dt.minute
generated/pandas.Series.dt.month,../reference/api/pandas.Series.dt.month
generated/pandas.Series.dt.month_name,../reference/api/pandas.Series.dt.month_name
generated/pandas.Series.dt.nanosecond,../reference/api/pandas.Series.dt.nanosecond
generated/pandas.Series.dt.nanoseconds,../reference/api/pandas.Series.dt.nanoseconds
generated/pandas.Series.dt.normalize,../reference/api/pandas.Series.dt.normalize
generated/pandas.Series.dt.quarter,../reference/api/pandas.Series.dt.quarter
generated/pandas.Series.dt.qyear,../reference/api/pandas.Series.dt.qyear
generated/pandas.Series.dt.round,../reference/api/pandas.Series.dt.round
generated/pandas.Series.dt.second,../reference/api/pandas.Series.dt.second
generated/pandas.Series.dt.seconds,../reference/api/pandas.Series.dt.seconds
generated/pandas.Series.dt.start_time,../reference/api/pandas.Series.dt.start_time
generated/pandas.Series.dt.strftime,../reference/api/pandas.Series.dt.strftime
generated/pandas.Series.dt.time,../reference/api/pandas.Series.dt.time
generated/pandas.Series.dt.timetz,../reference/api/pandas.Series.dt.timetz
generated/pandas.Series.dt.to_period,../reference/api/pandas.Series.dt.to_period
generated/pandas.Series.dt.to_pydatetime,../reference/api/pandas.Series.dt.to_pydatetime
generated/pandas.Series.dt.to_pytimedelta,../reference/api/pandas.Series.dt.to_pytimedelta
generated/pandas.Series.dt.total_seconds,../reference/api/pandas.Series.dt.total_seconds
generated/pandas.Series.dt.tz_convert,../reference/api/pandas.Series.dt.tz_convert
generated/pandas.Series.dt.tz,../reference/api/pandas.Series.dt.tz
generated/pandas.Series.dt.tz_localize,../reference/api/pandas.Series.dt.tz_localize
generated/pandas.Series.dt.weekday,../reference/api/pandas.Series.dt.weekday
generated/pandas.Series.dt.week,../reference/api/pandas.Series.dt.week
generated/pandas.Series.dt.weekofyear,../reference/api/pandas.Series.dt.weekofyear
generated/pandas.Series.dt.year,../reference/api/pandas.Series.dt.year
generated/pandas.Series.dtype,../reference/api/pandas.Series.dtype
generated/pandas.Series.dtypes,../reference/api/pandas.Series.dtypes
generated/pandas.Series.duplicated,../reference/api/pandas.Series.duplicated
generated/pandas.Series.empty,../reference/api/pandas.Series.empty
generated/pandas.Series.eq,../reference/api/pandas.Series.eq
generated/pandas.Series.equals,../reference/api/pandas.Series.equals
generated/pandas.Series.ewm,../reference/api/pandas.Series.ewm
generated/pandas.Series.expanding,../reference/api/pandas.Series.expanding
generated/pandas.Series.factorize,../reference/api/pandas.Series.factorize
generated/pandas.Series.ffill,../reference/api/pandas.Series.ffill
generated/pandas.Series.fillna,../reference/api/pandas.Series.fillna
generated/pandas.Series.filter,../reference/api/pandas.Series.filter
generated/pandas.Series.first,../reference/api/pandas.Series.first
generated/pandas.Series.first_valid_index,../reference/api/pandas.Series.first_valid_index
generated/pandas.Series.floordiv,../reference/api/pandas.Series.floordiv
generated/pandas.Series.from_array,../reference/api/pandas.Series.from_array
generated/pandas.Series.from_csv,../reference/api/pandas.Series.from_csv
generated/pandas.Series.ge,../reference/api/pandas.Series.ge
generated/pandas.Series.get,../reference/api/pandas.Series.get
generated/pandas.Series.get_value,../reference/api/pandas.Series.get_value
generated/pandas.Series.groupby,../reference/api/pandas.Series.groupby
generated/pandas.Series.gt,../reference/api/pandas.Series.gt
generated/pandas.Series.hasnans,../reference/api/pandas.Series.hasnans
generated/pandas.Series.head,../reference/api/pandas.Series.head
generated/pandas.Series.hist,../reference/api/pandas.Series.hist
generated/pandas.Series,../reference/api/pandas.Series
generated/pandas.Series.iat,../reference/api/pandas.Series.iat
generated/pandas.Series.idxmax,../reference/api/pandas.Series.idxmax
generated/pandas.Series.idxmin,../reference/api/pandas.Series.idxmin
generated/pandas.Series.iloc,../reference/api/pandas.Series.iloc
generated/pandas.Series.imag,../reference/api/pandas.Series.imag
generated/pandas.Series.index,../reference/api/pandas.Series.index
generated/pandas.Series.infer_objects,../reference/api/pandas.Series.infer_objects
generated/pandas.Series.interpolate,../reference/api/pandas.Series.interpolate
generated/pandas.Series.is_copy,../reference/api/pandas.Series.is_copy
generated/pandas.Series.isin,../reference/api/pandas.Series.isin
generated/pandas.Series.is_monotonic_decreasing,../reference/api/pandas.Series.is_monotonic_decreasing
generated/pandas.Series.is_monotonic,../reference/api/pandas.Series.is_monotonic
generated/pandas.Series.is_monotonic_increasing,../reference/api/pandas.Series.is_monotonic_increasing
generated/pandas.Series.isna,../reference/api/pandas.Series.isna
generated/pandas.Series.isnull,../reference/api/pandas.Series.isnull
generated/pandas.Series.is_unique,../reference/api/pandas.Series.is_unique
generated/pandas.Series.item,../reference/api/pandas.Series.item
generated/pandas.Series.items,../reference/api/pandas.Series.items
generated/pandas.Series.__iter__,../reference/api/pandas.Series.__iter__
generated/pandas.Series.iteritems,../reference/api/pandas.Series.iteritems
generated/pandas.Series.ix,../reference/api/pandas.Series.ix
generated/pandas.Series.keys,../reference/api/pandas.Series.keys
generated/pandas.Series.kurt,../reference/api/pandas.Series.kurt
generated/pandas.Series.kurtosis,../reference/api/pandas.Series.kurtosis
generated/pandas.Series.last,../reference/api/pandas.Series.last
generated/pandas.Series.last_valid_index,../reference/api/pandas.Series.last_valid_index
generated/pandas.Series.le,../reference/api/pandas.Series.le
generated/pandas.Series.loc,../reference/api/pandas.Series.loc
generated/pandas.Series.lt,../reference/api/pandas.Series.lt
generated/pandas.Series.mad,../reference/api/pandas.Series.mad
generated/pandas.Series.map,../reference/api/pandas.Series.map
generated/pandas.Series.mask,../reference/api/pandas.Series.mask
generated/pandas.Series.max,../reference/api/pandas.Series.max
generated/pandas.Series.mean,../reference/api/pandas.Series.mean
generated/pandas.Series.median,../reference/api/pandas.Series.median
generated/pandas.Series.memory_usage,../reference/api/pandas.Series.memory_usage
generated/pandas.Series.min,../reference/api/pandas.Series.min
generated/pandas.Series.mode,../reference/api/pandas.Series.mode
generated/pandas.Series.mod,../reference/api/pandas.Series.mod
generated/pandas.Series.mul,../reference/api/pandas.Series.mul
generated/pandas.Series.multiply,../reference/api/pandas.Series.multiply
generated/pandas.Series.name,../reference/api/pandas.Series.name
generated/pandas.Series.nbytes,../reference/api/pandas.Series.nbytes
generated/pandas.Series.ndim,../reference/api/pandas.Series.ndim
generated/pandas.Series.ne,../reference/api/pandas.Series.ne
generated/pandas.Series.nlargest,../reference/api/pandas.Series.nlargest
generated/pandas.Series.nonzero,../reference/api/pandas.Series.nonzero
generated/pandas.Series.notna,../reference/api/pandas.Series.notna
generated/pandas.Series.notnull,../reference/api/pandas.Series.notnull
generated/pandas.Series.nsmallest,../reference/api/pandas.Series.nsmallest
generated/pandas.Series.nunique,../reference/api/pandas.Series.nunique
generated/pandas.Series.pct_change,../reference/api/pandas.Series.pct_change
generated/pandas.Series.pipe,../reference/api/pandas.Series.pipe
generated/pandas.Series.plot.area,../reference/api/pandas.Series.plot.area
generated/pandas.Series.plot.barh,../reference/api/pandas.Series.plot.barh
generated/pandas.Series.plot.bar,../reference/api/pandas.Series.plot.bar
generated/pandas.Series.plot.box,../reference/api/pandas.Series.plot.box
generated/pandas.Series.plot.density,../reference/api/pandas.Series.plot.density
generated/pandas.Series.plot.hist,../reference/api/pandas.Series.plot.hist
generated/pandas.Series.plot,../reference/api/pandas.Series.plot
generated/pandas.Series.plot.kde,../reference/api/pandas.Series.plot.kde
generated/pandas.Series.plot.line,../reference/api/pandas.Series.plot.line
generated/pandas.Series.plot.pie,../reference/api/pandas.Series.plot.pie
generated/pandas.Series.pop,../reference/api/pandas.Series.pop
generated/pandas.Series.pow,../reference/api/pandas.Series.pow
generated/pandas.Series.prod,../reference/api/pandas.Series.prod
generated/pandas.Series.product,../reference/api/pandas.Series.product
generated/pandas.Series.ptp,../reference/api/pandas.Series.ptp
generated/pandas.Series.quantile,../reference/api/pandas.Series.quantile
generated/pandas.Series.radd,../reference/api/pandas.Series.radd
generated/pandas.Series.rank,../reference/api/pandas.Series.rank
generated/pandas.Series.ravel,../reference/api/pandas.Series.ravel
generated/pandas.Series.rdiv,../reference/api/pandas.Series.rdiv
generated/pandas.Series.rdivmod,../reference/api/pandas.Series.rdivmod
generated/pandas.Series.real,../reference/api/pandas.Series.real
generated/pandas.Series.reindex_axis,../reference/api/pandas.Series.reindex_axis
generated/pandas.Series.reindex,../reference/api/pandas.Series.reindex
generated/pandas.Series.reindex_like,../reference/api/pandas.Series.reindex_like
generated/pandas.Series.rename_axis,../reference/api/pandas.Series.rename_axis
generated/pandas.Series.rename,../reference/api/pandas.Series.rename
generated/pandas.Series.reorder_levels,../reference/api/pandas.Series.reorder_levels
generated/pandas.Series.repeat,../reference/api/pandas.Series.repeat
generated/pandas.Series.replace,../reference/api/pandas.Series.replace
generated/pandas.Series.resample,../reference/api/pandas.Series.resample
generated/pandas.Series.reset_index,../reference/api/pandas.Series.reset_index
